main_category,productId,retailerProductId,name,price_eur,price_per_kg_eur,categoryPath,brand,available,maxQuantityReached,featured,guaranteed_life_quantity,guaranteed_life_unit,size_value,attributes_labels,image_src
Nos recettes,e03809e1-d283-49b4-8c08-5282047a4ef3,MPX_4043233,Natoora Poivron - Rouge - XL - 1 pièce,4.85,4.85,"['Fruits & Légumes', 'Natoora le Primeur', 'Légumes, Salades et Herbes']",Natoora,True,False,false,5.0,DAY,,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/6ba9eb0b-5487-4710-9694-727b33f207b9/300x300.jpg
Nos recettes,90d27925-2033-4854-94f1-00b9740cdead,MPX_64176,"Charal Steaks Hachés Pur Boeuf, 15% De Mat. Gr",5.39,20.73,"['Boucherie et Volaille', 'Boucherie', 'Viandes hachées et farces']",Charal,True,False,false,3.0,DAY,260g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/f3f4ce1d-81d5-4605-84c2-af217d019adc/300x300.jpg
Nos recettes,c2918261-28bf-4876-869e-b2a7f870b6a1,MPX_1471496,Monoprix mélange de champignons 300g,3.95,13.17,"['Nos recettes', 'Recettes de Chefs', '& Fusilloni sauce moutarde']",Monoprix,True,False,false,6.0,MONTH,300g,['Produit congelé'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/45a3b8c6-48c6-4231-a65b-ca354c352f35/300x300.jpg
Nos recettes,c6e2af6d-4cf8-4d8a-8a66-10db48226ade,MPX_3870874,Monoprix Bio Granola Chocolat Noir et Amandes Caramélisées 350g,5.79,16.54,"['Epicerie Sucrée', 'Céréale et Barre', 'Céréale et Barre bio']",Monoprix Bio,True,False,false,2.0,MONTH,350g,"['Produit équitable', 'Produit bio']",https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/2a779f3f-a48a-462f-8bf2-07c3f5b679da/300x300.jpg
Nos recettes,d310438f-74ce-4d87-968d-b47323374476,MPX_164123,Monoprix Gourmet Jambon De Bayonne Affiné 12 Mois Minimum 80 G,3.59,44.88,"['Nos sélections', 'Inspiration du moment', 'Sélection Charcuterie et Fromage']",Monoprix Gourmet,True,False,false,1.0,MONTH,80g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/3df0ae71-dd53-4ce7-bc43-49fb16963f01/300x300.jpg
Nos recettes,d2135218-d77f-4a00-820f-b3f51038a97a,MPX_3430162,Monoprix Blanc de poireau 500g,3.99,7.98,"['Fruits & Légumes', 'Légumes Frais', 'Légumes de saison']",Monoprix,True,False,false,2.0,DAY,500g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/3137fa21-46b7-4ecc-9f11-87be7dc0bf9d/300x300.jpg
Nos recettes,cac0be93-edc3-4376-b03b-ca1f212903d7,MPX_5364365,"Pomme de terre 1,5kg",1.49,0.99,"['Fruits & Légumes', 'Légumes Frais', 'Pommes de terre et Carottes', 'Pommes de terre']",-,True,False,false,4.0,DAY,1.5kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/8f4b4d5a-c029-4345-a5cb-4753a38ca3cc/300x300.jpg
Nos recettes,d3231172-6e71-4ce1-b772-dba58412e2f3,MPX_2653975,Monoprix Bio Crevettes cuites décortiquées 100g,4.69,46.9,"['Produits de la Mer', 'Poissonnerie', 'Crevettes et crustacés']",Monoprix Bio,True,False,false,5.0,DAY,100g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/63af0662-e290-4391-b886-b8a5a3f2db2d/300x300.jpg
Nos recettes,182c3fc2-1277-4ab7-aa38-e2c6794496eb,MPX_2397076,Nestlé Dessert Tablette Chocolat Noir Dessert Pâtissier 2x205g,5.65,13.78,"['Epicerie Sucrée', 'Sucre, Farine et Aide à la pâtisserie', 'Chocolat à pâtisser']",Nestlé dessert,True,False,false,2.0,MONTH,2 x 205g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/b674a1e0-6a5e-488f-bd1b-4b7ae23bdea3/300x300.jpg
Nos recettes,b35666a7-67ab-4f66-a48d-34d072df8596,MPX_966137,Monoprix Bio lait demi-écrémé stérilisée 6x1L,7.69,1.28,"['Bio', 'Crèmerie bio', 'Lait bio']",Monoprix Bio,True,False,false,1.0,MONTH,6 x 1L,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/4b0799fc-1e54-4f38-a5d8-9aaff4d7842d/300x300.jpg
