productId,available,name,size_value,brand,price_eur,price_per_kg_eur,main_category
14770,True,Fromage à raclette Saveur d'Antan,la barquette de 350 g,Entremont,3.99,11.4,Produits-Laitiers-Œufs-et-Fromages
75381,True,Crème UHT semi-épaisse entière 30% MG,Les 2 bouteilles de 25 cl,Président,4.48,8.96,Produits-Laitiers-Œufs-et-Fromages
40954,True,Lait demi-écrémé,les 6 bouteilles de 1 l,"Pâturages, une marque Intermarché",7.45,1.24,Produits-Laitiers-Œufs-et-Fromages
86383,True,Raclette sans croûte,la barquette de 350 g,Entremont,3.99,11.4,Produits-Laitiers-Œufs-et-Fromages
88892,True,La Bûche fondante,La bûche de 180g,Président,2.12,11.78,Epicerie-Sucrée
208852,True,Œufs frais de poules élevées au sol,La boîte de 12,l'Œuf de nos Villages,3.74,0.32,Produits-Laitiers-Œufs-et-Fromages
34236,True,"Parmigiano reggiano, copeaux de parmesan",le pot de 100g,"Tout frais, Tout prêt !	",4.24,42.4,Produits-Laitiers-Œufs-et-Fromages
200450,True,Parmigiano reggiano AOP râpé,La boîte de 100g,Castelli,3.21,32.1,Produits-Laitiers-Œufs-et-Fromages
37731,True,"Parmigiano reggiano AOP sous film au lait cru de vache 28,4% de mg",La portion de 155 Gr environ,"Tout frais, Tout prêt !",4.21,27.15,Produits-Laitiers-Œufs-et-Fromages
121155,True,Gâteaux Tam Tam l'Original,le sachet de 10 - 275g,St Michel,1.31,4.73,Epicerie-Sucrée
35043,True,Savaroises au chocolat,Les 8 sachets - 220g,St Michel,1.31,5.91,Epicerie-Sucrée
121108,True,Gâteaux Tam Tam chocolat chocolat-blanc,le sachet de 8 - 220g,St Michel,1.31,5.91,Epicerie-Sucrée
47691,True,Pâte à tartiner aux noisettes et au cacao,le pot de 630 g,Nutella,5.8,9.21,Epicerie-Sucrée
225622,True,Pâte à tartiner aux noisettes et au cacao,Le pot de 220g,Nutella,3.03,13.77,Epicerie-Sucrée
15297,True,Sucre vanillé 100% naturel,"les 10 sachets de 7,5g - 75g",Vahiné,2.04,27.2,Epicerie-Sucrée
72496,True,Miel de montagne,le pot de 500g,Miel l'Apiculteur,5.49,10.98,Epicerie-Sucrée
15300,True,Sucre vanillé Madagascar,"le sachet 37,5g",Vahiné,2.21,59.73,Epicerie-Sucrée
33549,True,Miel de France,le pot de 500 g,Miel l'Apiculteur,5.49,10.98,Epicerie-Sucrée
22626,True,Miel de nos terroirs,le pot de 500g,Miel l'Apiculteur,5.49,10.98,Nos-régions-de-France
1116,True,Farine de blé spéciale cuisine et pâtisserie,le paquet de 1kg,"Chabrior, une marque Intermarché",0.85,0.85,Epicerie-Sucrée
366,True,Confiture extra de fraises,le pot de 370 g,"Paquito, une marque Intermarché",1.09,2.95,Epicerie-Sucrée
82796,True,Excellence - Chocolat noir intense 70% cacao,la tablette de 100 g,Lindt,2.1,21.0,Epicerie-Sucrée
132998,True,Biscuits gaufrettes fourrées au lait et au cacao - Cards,la boite de 20 biscuits - 256 g,Kinder,4.55,17.77,Epicerie-Sucrée
82795,True,Excellence - Chocolat noir puissant 85% cacao,la tablette de 100 g,Lindt,2.22,22.2,Epicerie-Sucrée
60593,True,Excellence - Chocolat noir à la pointe de fleur de sel,la tablette de 100 g,Lindt,1.86,18.6,Epicerie-Sucrée
90179,True,Pâte à tartiner aux noisettes,le pot de 600 g,"Ivoria, une marque Intermarché",3.42,5.7,Epicerie-Sucrée
4278,True,Barres de céréales chocolat noir,les 6 barres de 21 g,"Chabrior, une marque Intermarché",1.43,11.35,Epicerie-Sucrée
53544,True,Maxi - Barre chocolatées fourrées lait,la boite de 20 barres - 420 g - Bon Plan,Kinder,7.24,17.24,Epicerie-Sucrée
336,True,Confiture extra abricots,le pot de 370 g,"Paquito, une marque Intermarché",1.35,3.65,Epicerie-Sucrée
43595,True,Excellence - Chocolat noir subtil 70% cacao doux,la tablette de 100 g,Lindt,2.21,22.1,Epicerie-Sucrée
14629,True,Pur sirop d'érable,le flacon de 250 g,Maple Joe,4.65,18.6,Epicerie-Sucrée
208359,True,Nocciolata - Pâte à tartiner cacao et noisettes BIO,le pot de 250g,Rigoni di Asiago,4.3,17.2,Epicerie-Sucrée
22566,True,Excellence - Chocolat noir Prodigieux 90% cacao,la tablette de 100 g,Lindt,2.31,23.1,Epicerie-Sucrée
82797,True,Excellence - Chocolat noir orange intense,la tablette de 100 g,Lindt,2.19,21.9,Epicerie-Sucrée
129655,True,6 barres céréalières à la framboise et à la fraise,les 6 barres de 18 g,"Chabrior, une marque Intermarché",1.25,11.57,Epicerie-Sucrée
82794,True,Excellence - Chocolat noir caramel à la pointe de sel,la tablette de 100 g,Lindt,2.19,21.9,Epicerie-Sucrée
92731,True,Crêpes de Landerneau,le paquet de 300 g,Le Ster,2.62,8.73,Pain-et-Viennoiserie
7218,True,Barres céréales pomme,la boite de 6 barres - 126 g,"Chabrior, une marque Intermarché",1.45,11.51,Epicerie-Sucrée
41788,True,Edulcorant en poudre Stevia Zéro calorie,Le sachet de 250g,Pure Via,6.77,27.08,Epicerie-Sucrée
367,True,Confiture framboises,le pot de 370 g,"Paquito, une marque Intermarché",2.63,7.11,Epicerie-Sucrée
75671,True,Tartines & Desserts - Caramel beurre salé,Le tube de 300 g,Régilait,3.81,12.7,Epicerie-Sucrée
65467,True,Beurre cacahuetes creamy,le pot de 340g,Skippy,5.56,16.35,Epicerie-Salée
2952,True,Mignonnette noir de noir,la boite de 24 - 240 g,Côte d'Or,4.78,19.92,Epicerie-Sucrée
109338,True,Création - Chocolat Rocher noir,0.15,Lindt,3.14,20.93,Epicerie-Sucrée
62750,True,Excellence - Chocolat noir framboise intense,la tablette de 100 g,Lindt,2.29,22.9,Epicerie-Sucrée
92810,True,Edulcorant en morceaux Stévia Zéro calorie,La boîte 65 morceaux  - 130g,Pure Via,6.28,48.31,Epicerie-Sucrée
82800,True,Lindor - Chocolat au lait,La tablette de 150g,Lindt,2.96,19.73,Epicerie-Sucrée
109340,True,Création - Chocolat au lait Praliné feuilleté croustillant,0.15,Lindt,3.14,20.93,Epicerie-Sucrée
6626,True,Barres céréales abricot,la boite de 6 barres - 126 g,"Chabrior, une marque Intermarché",2.26,17.94,Epicerie-Sucrée
87261,True,Pancakes au lait frais,les 8 pancakes de 35g - 280g,Le Ster,2.68,9.57,Pain-et-Viennoiserie
40279,True,Confiture extra pêches,le pot de 370 g,"Paquito, une marque Intermarché",1.95,5.27,Epicerie-Sucrée
92811,True,Stick Stévia Zéro calorie,Les 40 sachets - 60g,Pure Via,3.7,61.67,Epicerie-Sucrée
12280,True,Ma pâte à crêpes,la boîte de 380g,Francine,2.12,5.58,Epicerie-Sucrée
41292,True,Confiture de fraises cuite aux pommes et au chaudron,le pot de 320 g,Lucien Georgelin,2.69,8.41,Epicerie-Sucrée
109336,True,Création - Chocolat au lait La Crème brûlée,0.15,Lindt,3.04,20.27,Epicerie-Sucrée
88684,True,Excellence - Chocolat noir corsé 78% cacao,la tablette de 100 g,Lindt,2.55,25.5,Epicerie-Sucrée
232453,True,Capsules de café compatibles Nespresso Brazil,la boîte de 10 capsules,Nescafé Farmers Origines,3.33,75.68,Boissons
109292,True,Création - Chocolat Rocher lait,0.15,Lindt,3.09,20.6,Epicerie-Sucrée
82799,True,Lindor - Chocolat noir,La tablette de 150g,Lindt,3.12,20.8,Epicerie-Sucrée
153859,True,Excellence - Chocolat noir sel rose de l'Himalaya,la tablette de 100 g,Lindt,2.73,27.3,Epicerie-Sucrée
232452,True,Capsules de café compatibles Nespresso Colombia,la boîte de 10 capsules,Nescafé Farmers Origines,3.39,77.05,Boissons
138532,True,Purée de pommes à la vanille BIO sans sucres ajoutés,pot ,WeBio !,3.72,5.9,Epicerie-Sucrée
231282,True,Capsules de café compatibles Nespresso Farmers Origin Colombia décaféiné,la boîte de 1 capsules - 53g,Nescafé,3.4,64.15,Boissons
233590,True,Capsules de café compatibles Nespresso Africas ristretto,la boîte de 10 capsules - 44g,Nescafé,3.34,75.91,Boissons
233898,True,Capsules de café compatibles Nespresso India espresso,la boîte de 10 capsules - 44g,Nescafé,3.45,78.41,Boissons
41291,True,Préparation d'abricots cuite au chaudron,le pot de 320 g,Lucien Georgelin,2.7,8.44,Epicerie-Sucrée
2628,True,Mayonnaise,le pot de 470 g,"Bouton d’Or, une marque Intermarché",1.65,3.51,Epicerie-Salée
88203,True,Lait de coco,la brique de 200 ml,Suzi Wan,1.25,6.25,Produits-du-monde
17697,True,Velouté tomates & basilic,la brique de 1 l,"St Eloi, une marque Intermarché",1.32,1.32,Epicerie-Salée
14953,True,Velouté de légumes,les 2 briques de 30 cl,"St Eloi, une marque Intermarché",1.4,2.33,Epicerie-Salée
14580,True,Lentilles blondes,la boite de 500 g,"St Eloi, une marque Intermarché",2.14,4.28,Epicerie-Salée
55295,True,Mouliné légumes variés,les 2 briques de 30 cl,"St Eloi, une marque Intermarché",1.71,2.85,Fruits-Légumes
19315,True,Pois chiches,la boite de 500 g,"St Eloi, une marque Intermarché",1.77,3.54,Epicerie-Salée
38299,True,Riz pour sushi Japonica,le sachet de 450g,Tanoshi,4.27,9.49,Epicerie
33744,True,Feuilles d'algues nori grillées pour sushi,"le sachet de 7 feuilles - 17,5g",Tanoshi,3.69,205.0,Produits-du-monde
45625,True,Coco épaisse,La brique de 200ml,Suzi Wan,1.25,6.25,Epicerie-Sucrée
44098,True,Cocos blancs,la boite de 500 g,"St Eloi, une marque Intermarché",2.84,5.68,Epicerie-Sucrée
52841,True,Coquillettes BIO,le paquet de 500 g,"Fiorini Bio, une marque Intermarché",0.86,1.72,Bio
52842,True,Spaghetti BIO,le paquet de 500 g,"Fiorini Bio, une marque Intermarché",0.86,1.72,Bio
160765,True,Cuisses de volaille,la conserve de 1240g,Jean Larnaudie,9.77,7.88,Boucherie-et-Volaille
161561,True,Cassoulet de Castelnaudary au porc,la conserve de 1350g,Jean Larnaudie,9.77,7.24,Charcuterie
38903,True,Nouilles japonaises saveur poulet Teriyaki,le pot de 65g,Tanoshi,1.96,30.15,Produits-du-monde
49548,True,Nouilles instantanées Soba Classic,le pot de 90 g,Nissin,2.36,26.22,Epicerie
168882,True,Haricots lingots aux saucisses de Toulouse,"la conserve de 1,24kg",Jean Larnaudie,9.77,7.88,Charcuterie-et-Traiteur
61081,True,Nouilles instantanées Soba Teriyaki,le pot de 90 g,Nissin,2.36,26.22,Epicerie
1231,True,Flageolets verts,la boite de 500 g,"St Eloi, une marque Intermarché",4.68,9.36,Fruits-Légumes
71883,True,"Nouilles Japonaises en cup, crevettes",le pot de 63 g,Nissin,1.79,28.41,Produits-du-monde
57618,True,Saveur d'Asie - Nouilles chinoises saveur poulet,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.64,8.41,Produits-du-monde
120008,True,Le Basmati riz du Penjab,Le sachet de 500g,Taureau Ailé,2.84,5.68,Epicerie
57630,True,Saveur d'Asie - Nouilles chinoises saveur bœuf,les 3 sachets de 65 g - 195g,"Itinéraire des Saveurs, une marque Intermarché",1.72,8.82,Produits-du-monde
111583,True,Bouillon cubes volaille dégraissé,la boite de 12 - 120 g,Maggi,1.85,15.42,Epicerie-Salée
